IDLOCAL;LOCAL
137535;2.A1.06.26.03.01
137536;2.A1.06.26.03.02
137538;2.A1.06.26.03.04
137539;2.A1.06.26.03.05
137541;2.A1.06.26.04.01
137542;2.A1.06.26.04.02
137544;2.A1.06.26.04.04
137545;2.A1.06.26.04.05
137547;2.A1.06.26.05.01
137548;2.A1.06.26.05.02
137550;2.A1.06.26.05.04
137551;2.A1.06.26.05.05
137553;2.A1.06.26.06.01
137554;2.A1.06.26.06.02
137556;2.A1.06.26.06.04
137557;2.A1.06.26.06.05
137561;2.A1.07.01.01.01
137562;2.A1.07.01.01.02
137564;2.A1.07.01.01.04
137565;2.A1.07.01.01.05
137567;2.A1.07.01.02.01
137568;2.A1.07.01.02.02
137570;2.A1.07.01.02.04
137571;2.A1.07.01.02.05
137573;2.A1.07.01.03.01
137574;2.A1.07.01.03.02
137576;2.A1.07.01.03.04
137577;2.A1.07.01.03.05
137579;2.A1.07.01.04.01
137580;2.A1.07.01.04.02
137582;2.A1.07.01.04.04
137583;2.A1.07.01.04.05
137585;2.A1.07.01.05.01
137586;2.A1.07.01.05.02
137588;2.A1.07.01.05.04
137589;2.A1.07.01.05.05
137591;2.A1.07.01.06.01
137592;2.A1.07.01.06.02
137594;2.A1.07.01.06.04
137595;2.A1.07.01.06.05
137598;2.A1.07.02.01.01
137599;2.A1.07.02.01.02
137601;2.A1.07.02.01.04
137602;2.A1.07.02.01.05
137604;2.A1.07.02.02.01
137605;2.A1.07.02.02.02
137607;2.A1.07.02.02.04
137608;2.A1.07.02.02.05
137610;2.A1.07.02.03.01
137611;2.A1.07.02.03.02
137613;2.A1.07.02.03.04
137614;2.A1.07.02.03.05
137616;2.A1.07.02.04.01
137617;2.A1.07.02.04.02
137619;2.A1.07.02.04.04
137620;2.A1.07.02.04.05
137622;2.A1.07.02.05.01
137623;2.A1.07.02.05.02
137625;2.A1.07.02.05.04
137626;2.A1.07.02.05.05
137628;2.A1.07.02.06.01
137629;2.A1.07.02.06.02
137631;2.A1.07.02.06.04
137632;2.A1.07.02.06.05
137635;2.A1.07.03.01.01
137636;2.A1.07.03.01.02
137638;2.A1.07.03.01.04
137639;2.A1.07.03.01.05
137641;2.A1.07.03.02.01
137642;2.A1.07.03.02.02
137644;2.A1.07.03.02.04
137645;2.A1.07.03.02.05
137647;2.A1.07.03.03.01
137648;2.A1.07.03.03.02
137650;2.A1.07.03.03.04
137651;2.A1.07.03.03.05
137653;2.A1.07.03.04.01
137654;2.A1.07.03.04.02
137656;2.A1.07.03.04.04
137657;2.A1.07.03.04.05
137659;2.A1.07.03.05.01
137660;2.A1.07.03.05.02
137662;2.A1.07.03.05.04
137663;2.A1.07.03.05.05
137665;2.A1.07.03.06.01
137666;2.A1.07.03.06.02
137668;2.A1.07.03.06.04
137669;2.A1.07.03.06.05
137672;2.A1.07.04.01.01
137673;2.A1.07.04.01.02
137675;2.A1.07.04.01.04
137676;2.A1.07.04.01.05
137678;2.A1.07.04.02.01
137679;2.A1.07.04.02.02
137681;2.A1.07.04.02.04
137682;2.A1.07.04.02.05
137684;2.A1.07.04.03.01
137685;2.A1.07.04.03.02
137687;2.A1.07.04.03.04
137688;2.A1.07.04.03.05
137690;2.A1.07.04.04.01
137691;2.A1.07.04.04.02
137693;2.A1.07.04.04.04
137694;2.A1.07.04.04.05
137696;2.A1.07.04.05.01
137697;2.A1.07.04.05.02
137699;2.A1.07.04.05.04
137700;2.A1.07.04.05.05
137702;2.A1.07.04.06.01
137703;2.A1.07.04.06.02
137705;2.A1.07.04.06.04
137706;2.A1.07.04.06.05
137709;2.A1.07.05.01.01
137710;2.A1.07.05.01.02
137712;2.A1.07.05.01.04
137713;2.A1.07.05.01.05
137715;2.A1.07.05.02.01
137716;2.A1.07.05.02.02
137718;2.A1.07.05.02.04
137719;2.A1.07.05.02.05
137721;2.A1.07.05.03.01
137722;2.A1.07.05.03.02
137724;2.A1.07.05.03.04
137725;2.A1.07.05.03.05
137727;2.A1.07.05.04.01
137728;2.A1.07.05.04.02
137730;2.A1.07.05.04.04
137731;2.A1.07.05.04.05
137733;2.A1.07.05.05.01
137734;2.A1.07.05.05.02
137736;2.A1.07.05.05.04
137737;2.A1.07.05.05.05
137739;2.A1.07.05.06.01
137740;2.A1.07.05.06.02
